# %ECSV 0.9
# ---
# delimiter: ','
# datatype:
# - {name: srcname   , unit: latex   , datatype: string    , description: Source name                                          }
# - {name: t         , unit: mjd     , datatype: float32 , description: Time of measurement                                  }
# - {name: t_wlo     , unit: d    , datatype: float32 , description: Lower width of time bin                                 }
# - {name: t_wup     , unit: d    , datatype: float32 , description: Upper width of time bin                                 }
# - {name: t_exp     , unit: h    , datatype: float32 , description: Exposure time                                           }
# - {name: flux     , unit: cm-2 s-1, datatype: float32 , description: Flux measured above the energy threshold              }
# - {name: flux_elo , unit: cm-2 s-1, datatype: float32 , description: Lower uncertainty of flux                             }
# - {name: flux_eup , unit: cm-2 s-1, datatype: float32 , description: Upper uncertainty of flux                             }
# - {name: eth_lo      , unit: GeV,      datatype: float32 , description: Assumed lower energy threshold for integral flux calculation}
# - {name: eth_up      , unit: GeV,      datatype: float32 , description: Assumed upper energy threshold for integral flux calculation}
# - {name: instrument, unit: latex   , datatype: string    , description: Instrument                                           }
# - {name: dataformat, unit: latex   , datatype: string    , description: Data Format                                          }
# - {name: comments  , unit: latex   , datatype: string    , description: Comments                                             }
# meta: !!omap
# - {Filename: magic_template_lc.ecsv}
# - {Source: "VER 0521+211"}
# - {Figure: "Figure 1, long term MWL light curve, panel 2"}
# - {Title: "Time-dependent modelling of short-term variability in the TeV-blazar VER J0521+211 during the major flare in 2020"}
# - {Comments: ""}
# - {Reference: "magic_2025a.yaml"}
# - {Status: "Checked"}

srcname, t, t_wlo, t_wup, t_exp, flux, flux_elo, flux_eup, eth_lo, eth_up, instrument, dataformat, comments
VER 0521+211, 55303.5, , , , 5.67E-08, 2.10E-08, 2.10E-08, 0.1, 300, Fermi-LAT, , Data have been acquired from the Fermi-LAT light curve repository https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/
VER 0521+211, 55310.5, , , , 6.74E-08, 2.21E-08, 2.21E-08, 0.1, 300, Fermi-LAT, , Data have been acquired from the Fermi-LAT light curve repository https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/
VER 0521+211, 55317.5, , , , 1.34E-07, 2.90E-08, 2.90E-08, 0.1, 300, Fermi-LAT, , Data have been acquired from the Fermi-LAT light curve repository https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/
VER 0521+211, 55324.5, , , , 1.55E-07, 3.00E-08, 3.00E-08, 0.1, 300, Fermi-LAT, , Data have been acquired from the Fermi-LAT light curve repository https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/
VER 0521+211, 55331.5, , , , 6.25E-08, 2.14E-08, 2.14E-08, 0.1, 300, Fermi-LAT, , Data have been acquired from the Fermi-LAT light curve repository https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/
VER 0521+211, 55338.5, , , , 6.54E-08, 2.35E-08, 2.35E-08, 0.1, 300, Fermi-LAT, , Data have been acquired from the Fermi-LAT light curve repository https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/
VER 0521+211, 55345.5, , , , 7.62E-08, 2.69E-08, 2.69E-08, 0.1, 300, Fermi-LAT, , Data have been acquired from the Fermi-LAT light curve repository https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/
VER 0521+211, 55352.5, , , , 1.01E-07, 2.84E-08, 2.84E-08, 0.1, 300, Fermi-LAT, , Data have been acquired from the Fermi-LAT light curve repository https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/
VER 0521+211, 55359.5, , , , 7.43E-08, 2.71E-08, 2.71E-08, 0.1, 300, Fermi-LAT, , Data have been acquired from the Fermi-LAT light curve repository https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/
VER 0521+211, 55366.5, , , , 7.29E-08, 2.68E-08, 2.68E-08, 0.1, 300, Fermi-LAT, , Data have been acquired from the Fermi-LAT light curve repository https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/
VER 0521+211, 55373.5, , , , 1.72E-07, 3.50E-08, 3.50E-08, 0.1, 300, Fermi-LAT, , Data have been acquired from the Fermi-LAT light curve repository https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/
VER 0521+211, 55380.5, , , , 1.59E-07, 3.40E-08, 3.40E-08, 0.1, 300, Fermi-LAT, , Data have been acquired from the Fermi-LAT light curve repository https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/
VER 0521+211, 55387.5, , , , 1.13E-07, 2.82E-08, 2.82E-08, 0.1, 300, Fermi-LAT, , Data have been acquired from the Fermi-LAT light curve repository https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/
VER 0521+211, 55394.5, , , , 7.60E-08, 2.34E-08, 2.34E-08, 0.1, 300, Fermi-LAT, , Data have been acquired from the Fermi-LAT light curve repository https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/
VER 0521+211, 55401.5, , , , 3.26E-08, 1.71E-08, 1.71E-08, 0.1, 300, Fermi-LAT, , Data have been acquired from the Fermi-LAT light curve repository https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/
VER 0521+211, 55408.5, , , , 7.30E-08, 2.57E-08, 2.57E-08, 0.1, 300, Fermi-LAT, , Data have been acquired from the Fermi-LAT light curve repository https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/
VER 0521+211, 55415.5, , , , 8.21E-08, 2.59E-08, 2.59E-08, 0.1, 300, Fermi-LAT, , Data have been acquired from the Fermi-LAT light curve repository https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/
VER 0521+211, 55422.5, , , , 7.68E-08, 2.66E-08, 2.66E-08, 0.1, 300, Fermi-LAT, , Data have been acquired from the Fermi-LAT light curve repository https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/
